proto,conn_state,history,label,id.orig_p,id.resp_p,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,orig_ip_1,orig_ip_2,orig_ip_3,orig_ip_4,resp_ip_1,resp_ip_2,resp_ip_3,resp_ip_4
tcp,S0,S,Benign,37505.125,12916.895,0.05579709,1.1570163,59.283978,0.1907269,3.906557,191.97298,167.85362,99.829025,103.03381,188.85193,202.26085,199.7144,52.470467
tcp,S0,S,Malicious,52939.02,2099.9883,0.04202676,3.023371,176.1168,0.065905,-11.852023,192.09032,167.91463,100.08021,102.85338,113.55913,91.87579,155.0843,52.933746
tcp,S0,S,Benign,45392.195,14335.765,0.12793969,1.1181792,57.872967,0.117992915,3.7404766,191.95279,167.93887,100.035225,103.03771,55.07588,188.02957,109.30127,162.02725
tcp,S0,S,Malicious,52941.86,692.9199,0.057475302,0.9203301,70.721466,-0.14257751,6.179363,191.93602,168.05089,99.89431,103.00052,57.02657,152.38919,69.989265,145.11241
tcp,S0,S,Benign,47943.637,13030.227,0.059293877,0.9992206,62.325512,0.06921268,7.0462184,192.07344,168.05804,100.00026,103.007416,162.84854,124.21803,114.570526,125.40908
udp,S0,D,Benign,43669.547,24382.258,0.03427936,0.98015505,39.989647,0.09803686,-8.598603,192.00114,168.00632,100.01417,103.12435,145.82523,157.69067,55.386524,191.71156
tcp,S0,S,Malicious,47961.566,4471.924,-0.06871896,2.7101336,175.81842,0.013859111,6.0242867,192.03244,168.09518,100.0227,103.05536,172.03554,65.501236,144.42592,127.604706
udp,S0,D,Benign,43539.25,25793.068,0.11446103,0.9761774,45.050266,0.12541978,2.3367186,192.05492,168.0385,100.038826,103.021416,139.85179,161.22987,105.049095,183.31299
tcp,S0,S,Malicious,43312.51,-1888.5449,-0.08369251,1.0025125,55.0627,0.20429258,-6.661235,191.99857,167.9517,100.00442,103.09144,63.786037,54.559937,115.443054,201.02843
tcp,S0,S,Malicious,41637.37,-1369.4297,0.023805073,0.98696953,67.82376,0.13290215,-7.1899977,192.06633,167.90526,99.92511,103.06569,76.43157,127.92315,91.38441,166.4216
udp,S0,D,Benign,43368.42,14271.376,0.016433217,0.93041474,45.370327,0.1429629,-5.859762,191.90646,167.97484,100.050354,102.95543,134.4086,194.77107,89.57812,65.56577
udp,S0,D,Benign,43758.414,25319.76,-0.0024535502,1.0002208,44.832367,-0.23103543,0.38251975,191.9662,168.05928,99.85684,103.01018,118.73249,83.61112,190.92842,184.50557
tcp,S0,S,Malicious,40005.34,131.89061,-0.0015884234,1.011663,72.24796,-0.13856469,1.7495737,192.03699,168.1075,100.02533,103.087746,163.39626,74.84529,94.04545,134.76068
tcp,S0,S,Benign,49263.43,24140.65,0.044702,0.91581,54.220146,0.2531658,-2.1463156,192.07019,167.99379,100.19489,103.04695,150.91843,112.71921,63.720104,143.756
tcp,S0,S,Malicious,40362.35,-307.80862,-0.03247378,0.9768347,59.467716,0.054657277,-10.324878,192.0422,167.9813,99.92741,103.17569,140.38606,144.52953,76.60478,65.743095
udp,S0,D,Benign,43622.355,876.49805,-0.026038548,0.9861543,37.300518,-0.076581046,-1.408515,192.0489,168.03624,100.01522,102.95036,154.79274,115.23677,187.4574,125.21492
udp,S0,D,Benign,43185.44,6218.243,0.00563124,0.9887431,41.711708,-0.06103761,-7.680005,192.05954,168.03815,99.96033,103.082886,98.96566,138.47127,115.0871,167.75533
tcp,S0,S,Malicious,44751.72,706.7832,-0.03988761,2.911682,176.0719,-0.20872663,-6.760481,191.90474,167.96501,99.99149,103.03801,98.80971,102.03951,146.33968,191.16743
udp,S0,D,Benign,43371.08,13148.7,-0.06274535,0.87843335,45.01837,-0.009918344,-8.719359,192.0322,168.00226,100.08559,102.95633,74.68815,67.09672,132.79901,71.53033
udp,S0,D,Benign,44564.7,19350.807,0.013280179,1.1865488,38.488342,-0.06475283,-5.634079,192.03201,168.04758,100.00195,103.15277,73.73544,200.001,130.3516,97.85305
tcp,S0,S,Malicious,37998.246,2094.7236,0.022038586,1.0393027,60.13093,-0.05394807,-2.5614338,192.06313,168.03249,100.00423,102.951965,55.07839,84.36782,147.72397,179.6411
tcp,S0,S,Malicious,48514.098,8924.5,0.013880332,0.9319804,61.20487,0.067043565,-9.128921,191.97188,167.92012,100.02048,103.01281,149.10524,124.94742,166.40169,71.59485
tcp,S0,S,Malicious,51604.223,10587.385,-0.02340073,1.0665622,67.78916,-0.06630765,-2.540886,192.01945,167.98698,99.95958,103.03029,124.17103,119.89763,135.35625,130.69467
